próbacsüt

;;U1;U2
;;V;V
2014.06.12.;12:39:00;1.088;0.088
2014.06.12.;12:40:00;1.069;0.069
2014.06.12.;12:41:00;1.069;0.069
2014.06.12.;12:42:00;1.059;0.059
2014.06.12.;12:43:00;1.07;0.07
2014.06.12.;12:44:00;1.059;0.059
2014.06.12.;12:45:00;1.03;0.03
2014.06.12.;12:46:00;1.01;0.01
2014.06.12.;12:47:00;1.01;0.01
2014.06.12.;12:48:00;1.0;0.0
2014.06.12.;12:49:00;1.0;0.0
2014.06.12.;12:50:00;1.01;0.01
2014.06.12.;12:51:00;1.0;0.0
2014.06.12.;12:52:00;1.0;0.0
2014.06.12.;12:53:00;1.001;0.001
2014.06.12.;12:54:00;0.98;0.98
2014.06.12.;12:55:00;0.961;0.961
2014.06.12.;12:56:00;0.95;0.95
2014.06.12.;12:57:00;0.95;0.95
2014.06.12.;12:58:00;0.961;0.961
2014.06.12.;12:59:00;0.961;0.961
2014.06.12.;01:00:00;0.961;0.961
2014.06.12.;01:01:00;0.961;0.961
2014.06.12.;01:02:00;0.961;0.961
2014.06.12.;01:03:00;0.98;0.98
2014.06.12.;01:04:00;0.98;0.98
2014.06.12.;01:05:00;0.961;0.961
2014.06.12.;01:06:00;0.97;0.97
2014.06.12.;01:07:00;0.98;0.98
2014.06.12.;01:08:00;1.01;0.01
2014.06.12.;01:09:00;1.02;0.02
2014.06.12.;01:10:00;1.02;0.02
2014.06.12.;01:11:00;1.01;0.01
2014.06.12.;01:12:00;1.0;0.0
2014.06.12.;01:13:00;1.01;0.01
2014.06.12.;01:14:00;1.0;0.0
2014.06.12.;01:15:00;1.01;0.01
2014.06.12.;01:16:00;1.0;0.0
2014.06.12.;01:17:00;1.0;0.0
2014.06.12.;01:18:00;0.981;0.981
2014.06.12.;01:19:00;0.999;0.999
2014.06.12.;01:20:00;0.99;0.99
2014.06.12.;01:21:00;0.99;0.99
2014.06.12.;01:22:00;0.97;0.97
2014.06.12.;01:23:00;0.97;0.97
2014.06.12.;01:24:00;0.97;0.97
2014.06.12.;01:25:00;0.97;0.97
2014.06.12.;01:26:00;0.961;0.961
2014.06.12.;01:27:00;0.961;0.961
2014.06.12.;01:28:00;0.961;0.961
2014.06.12.;01:29:00;0.961;0.961
2014.06.12.;01:30:00;0.961;0.961
2014.06.12.;01:31:00;0.961;0.961
2014.06.12.;01:32:00;0.961;0.961
2014.06.12.;01:33:00;0.961;0.961
2014.06.12.;01:34:00;0.961;0.961
2014.06.12.;01:35:00;0.961;0.961
2014.06.12.;01:36:00;0.961;0.961
2014.06.12.;01:37:00;0.97;0.97
2014.06.12.;01:38:00;0.97;0.97
2014.06.12.;01:39:00;0.98;0.98
2014.06.12.;01:40:00;0.99;0.99
2014.06.12.;01:41:00;0.99;0.99
2014.06.12.;01:42:00;0.99;0.99
2014.06.12.;01:43:00;0.97;0.97
2014.06.12.;01:44:00;0.98;0.98
2014.06.12.;01:45:00;1.0;0.0
