Adatgyûjtés - Tábla: Adatok		2016.05.04 14:00:00 - 2016.05.04 21:59:59			
					
Dátum			KD481D1.PV	KD481D2.PV	KD481D3.PV
2016.05.04 14:10:00		2.4	4.0		
2016.05.04 14:15:00		3.4	4.0		
2016.05.04 14:20:00			2.8		
2016.05.04 14:25:00	KD481D3.PV				
2016.05.04 14:30:00	0.5	0.2	1.3		
2016.05.04 14:35:00	0.4	0.3	1.3		
2016.05.04 14:40:00	0.5	0.3	1.3		
2016.05.04 14:45:00	0.5	0.2	1.3		
2016.05.04 14:50:00	0.5	0.2	1.3		
2016.05.04 14:55:00	0.5	0.2	1.3		
2016.05.04 15:00:00	0.5	0.2	1.3		
2016.05.04 15:05:00	0.5	0.2	1.3		
2016.05.04 15:10:00	0.5	0.2	1.3		
2016.05.04 15:15:00	0.5	0.2	1.3		
2016.05.04 15:20:00	0.5	0.2	1.2		
2016.05.04 15:25:00	0.5	0.2	1.2		
2016.05.04 15:30:00	0.5	0.2	1.2		
2016.05.04 15:35:00	0.5	0.2	1.2		
2016.05.04 15:40:00	0.5	0.2	1.2		
2016.05.04 15:45:00	0.5	0.2	1.2		
2016.05.04 15:50:00	0.5	0.2	1.2		
2016.05.04 15:55:00	0.5	0.2	1.2		
2016.05.04 16:00:00	0.5	0.2	1.2		
2016.05.04 16:05:00	0.5	0.2	1.2		
2016.05.04 16:10:00		0.2	1.2		
2016.05.04 16:15:00			1.2		
2016.05.04 16:30:00	0.5	2.0	2.9		
2016.05.04 16:35:00	0.5	1.4	2.4		
2016.05.04 16:40:00	0.3	1.0	2.0		
2016.05.04 16:45:00	0.2	0.6	1.6		
2016.05.04 16:50:00	0.4	0.8	1.9		
2016.05.04 16:55:00	0.3	1.9	2.7		
2016.05.04 17:00:00	0.3	2.2	2.9		
2016.05.04 17:05:00	0.3	2.5	3.1		
2016.05.04 17:10:00	0.3	2.6	3.2		
2016.05.04 17:25:00	0.3	2.7	3.2		
2016.05.04 17:30:00	0.3	2.9	3.4		
2016.05.04 17:35:00	0.3	2.7	3.3		
2016.05.04 17:40:00	0.2	2.9	3.3		
2016.05.04 17:45:00	0.2	3.0	3.4		
2016.05.04 17:50:00	0.2	2.9	3.3		
2016.05.04 17:55:00	0.4	2.8	3.3		
2016.05.04 18:00:00	0.4	2.8	3.3		
2016.05.04 18:05:00	0.4	2.7	3.3		
2016.05.04 18:10:00	0.4	2.7	3.3		
2016.05.04 18:15:00	0.7	2.5	3.3		
2016.05.04 18:20:00	1.1	2.2	3.4		
2016.05.04 18:25:00	1.7	1.8	3.5		
2016.05.04 18:30:00	2.2	1.4	3.5		
2016.05.04 18:35:00	2.2	1.4	3.5		
2016.05.04 18:40:00	2.2	1.4	3.6		
2016.05.04 18:45:00	2.2	1.5	3.6		
2016.05.04 18:50:00	2.2	1.5	3.7		
2016.05.04 18:55:00	2.2	1.6	3.7		
2016.05.04 19:00:00	2.2	1.6	3.7		
2016.05.04 19:05:00	2.2	1.6	3.7		
2016.05.04 19:10:00	2.2	1.7	3.8		
2016.05.04 19:15:00	2.2	1.7	3.8		
2016.05.04 19:20:00	2.2	1.6	3.7		
2016.05.04 19:25:00	2.2	1.7	3.7		
2016.05.04 19:30:00	2.2	1.6	3.7		
2016.05.04 19:35:00	2.3	1.6	3.6		
2016.05.04 19:50:00	2.2	1.5	3.6		
2016.05.04 19:55:00	2.3	1.5	3.6		
2016.05.04 20:00:00	2.3	1.4	3.6		
2016.05.04 20:05:00	2.3	1.5	3.6		
2016.05.04 20:10:00	2.3	1.4	3.5		
2016.05.04 20:15:00	2.3	1.3	3.5		
2016.05.04 20:20:00	2.3	1.3	3.5		
2016.05.04 20:25:00	2.3	1.2	3.4		
2016.05.04 20:30:00	1.8	1.6	3.4		
2016.05.04 20:35:00	1.2	2.1	3.4		
2016.05.04 20:40:00	1.2	2.2	3.4		
2016.05.04 20:45:00	1.2	2.2	3.4		
2016.05.04 20:50:00	0.4	2.8	3.4		
2016.05.04 20:55:00	0.4	2.7	3.3		
2016.05.04 21:00:00	0.2	3.0	3.4		
2016.05.04 21:05:00	0.2	3.0	3.4		
2016.05.04 21:10:00	0.1	3.0	3.3		
2016.05.04 21:15:00	0.1	3.0	3.3		
2016.05.04 21:20:00	0.1	3.1	3.3		
Összesítés:		1.0	1.6	2.8	
